freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,FC_E,C0000X0350-0370,KTOE,SK	510.866 	448.159 	440.572 	371.568 	405.653 	424.979 	431.203 	356.574 	397.092 	305.257 	220.589 	262.812 
A,FC_E,C0000X0350-0370,KTOE,TR	10636.487 	10759.764 	11403.943 	11949.046 	11830.680 	9659.548 	10031.519 	11467.553 	12279.149 	10210.486 	10220.255 	: 
A,FC_E,C0000X0350-0370,KTOE,UA	5230.780 	6063.501 	3701.296 	3480.367 	2871.151 	3973.636 	3886.622 	3700.860 	: 	: 	: 	: 
A,FC_E,C0000X0350-0370,KTOE,UK	2687.953 	2629.935 	2296.883 	2042.868 	1871.281 	1704.194 	1565.081 	: 	: 	: 	: 	: 
A,FC_E,C0000X0350-0370,KTOE,XK	56.580 	61.014 	47.825 	99.654 	87.174 	18.092 	20.531 	27.462 	33.604 	29.707 	34.241 	: 
A,FC_E,C0350-0370,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,FC_E,C0350-0370,KTOE,AT	95.452 	82.777 	80.561 	99.954 	104.806 	88.126 	95.870 	81.312 	111.897 	98.945 	96.559 	96.300 
A,FC_E,C0350-0370,KTOE,BA	: 	104.352 	105.379 	104.615 	100.244 	110.215 	121.393 	52.381 	42.665 	41.062 	29.576 	: 
A,FC_E,C0350-0370,KTOE,BE	207.366 	181.463 	162.296 	163.392 	171.581 	173.145 	153.077 	141.229 	180.261 	151.137 	159.205 	200.364 
A,FC_E,C0350-0370,KTOE,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,CZ	312.893 	323.565 	311.300 	303.920 	279.425 	321.646 	266.195 	265.890 	314.360 	268.324 	188.236 	117.795 
A,FC_E,C0350-0370,KTOE,DE	2347.516 	2333.453 	2462.038 	2234.898 	2194.760 	2494.077 	2316.624 	2141.267 	2124.961 	2152.195 	2558.667 	2311.405 
A,FC_E,C0350-0370,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_E,C0350-0370,KTOE,ES	118.425 	75.915 	79.904 	96.126 	94.492 	82.294 	72.953 	51.887 	90.152 	87.428 	76.854 	65.331 
A,FC_E,C0350-0370,KTOE,EU27_2020	4851.237 	4917.588 	4844.829 	4670.602 	4577.861 	4811.092 	4376.035 	4021.461 	4373.350 	4292.299 	4383.267 	4117.528 
A,FC_E,C0350-0370,KTOE,FI	117.068 	120.529 	134.991 	144.473 	122.148 	139.505 	137.315 	126.763 	143.625 	125.521 	122.404 	112.377 
A,FC_E,C0350-0370,KTOE,FR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
